granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20230902T030430_2324502_006,2023-09-02T03:04:30.000Z,2023-09-02T03:04:41.000Z,0,81.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230902T030430_2324502_006/EMIT_L2B_MIN_001_20230902T030430_2324502_006.nc
EMIT_L2B_MIN_001_20230930T065749_2327305_009,2023-09-30T06:57:49.000Z,2023-09-30T06:58:01.000Z,0,84.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230930T065749_2327305_009/EMIT_L2B_MIN_001_20230930T065749_2327305_009.nc
EMIT_L2B_MIN_001_20231003T060940_2327604_007,2023-10-03T06:09:40.000Z,2023-10-03T06:09:52.000Z,0,92.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231003T060940_2327604_007/EMIT_L2B_MIN_001_20231003T060940_2327604_007.nc
EMIT_L2B_MIN_001_20231003T060952_2327604_008,2023-10-03T06:09:52.000Z,2023-10-03T06:10:04.000Z,0,90.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231003T060952_2327604_008/EMIT_L2B_MIN_001_20231003T060952_2327604_008.nc
EMIT_L2B_MIN_001_20231003T061028_2327604_011,2023-10-03T06:10:28.000Z,2023-10-03T06:10:40.000Z,0,95.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231003T061028_2327604_011/EMIT_L2B_MIN_001_20231003T061028_2327604_011.nc
EMIT_L2B_MIN_001_20231003T061040_2327604_012,2023-10-03T06:10:40.000Z,2023-10-03T06:10:51.000Z,0,95.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231003T061040_2327604_012/EMIT_L2B_MIN_001_20231003T061040_2327604_012.nc
EMIT_L2B_MIN_001_20231004T052217_2327704_008,2023-10-04T05:22:17.000Z,2023-10-04T05:22:29.000Z,0,84.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231004T052217_2327704_008/EMIT_L2B_MIN_001_20231004T052217_2327704_008.nc
EMIT_L2B_MIN_001_20231007T043414_2328003_009,2023-10-07T04:34:14.000Z,2023-10-07T04:34:26.000Z,0,92.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231007T043414_2328003_009/EMIT_L2B_MIN_001_20231007T043414_2328003_009.nc
EMIT_L2B_MIN_001_20231007T043449_2328003_012,2023-10-07T04:34:49.000Z,2023-10-07T04:35:01.000Z,0,92.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231007T043449_2328003_012/EMIT_L2B_MIN_001_20231007T043449_2328003_012.nc
EMIT_L2B_MIN_001_20231025T061852_2329804_029,2023-10-25T06:18:52.000Z,2023-10-25T06:19:04.000Z,0,101.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231025T061852_2329804_029/EMIT_L2B_MIN_001_20231025T061852_2329804_029.nc
EMIT_L2B_MIN_001_20231029T044307_2330203_013,2023-10-29T04:43:07.000Z,2023-10-29T04:43:19.000Z,0,97.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231029T044307_2330203_013/EMIT_L2B_MIN_001_20231029T044307_2330203_013.nc
EMIT_L2B_MIN_001_20231029T044319_2330203_014,2023-10-29T04:43:19.000Z,2023-10-29T04:43:31.000Z,0,101.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231029T044319_2330203_014/EMIT_L2B_MIN_001_20231029T044319_2330203_014.nc
EMIT_L2B_MIN_001_20231203T060943_2333704_006,2023-12-03T06:09:43.000Z,2023-12-03T06:09:55.000Z,0,102.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231203T060943_2333704_006/EMIT_L2B_MIN_001_20231203T060943_2333704_006.nc
EMIT_L2B_MIN_001_20231203T060955_2333704_007,2023-12-03T06:09:55.000Z,2023-12-03T06:10:07.000Z,0,101.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20231203T060955_2333704_007/EMIT_L2B_MIN_001_20231203T060955_2333704_007.nc
EMIT_L2B_MIN_001_20240430T034419_2412103_003,2024-04-30T03:44:19.000Z,2024-04-30T03:44:31.000Z,0,102.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240430T034419_2412103_003/EMIT_L2B_MIN_001_20240430T034419_2412103_003.nc
EMIT_L2B_MIN_001_20240430T034431_2412103_004,2024-04-30T03:44:31.000Z,2024-04-30T03:44:43.000Z,0,98.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240430T034431_2412103_004/EMIT_L2B_MIN_001_20240430T034431_2412103_004.nc
EMIT_L2B_MIN_001_20240519T110842_2414008_016,2024-05-19T11:08:42.000Z,2024-05-19T11:08:56.000Z,0,109.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240519T110842_2414008_016/EMIT_L2B_MIN_001_20240519T110842_2414008_016.nc
EMIT_L2B_MIN_001_20240607T033354_2415903_009,2024-06-07T03:33:54.000Z,2024-06-07T03:34:06.000Z,0,101.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240607T033354_2415903_009/EMIT_L2B_MIN_001_20240607T033354_2415903_009.nc
EMIT_L2B_MIN_001_20240607T033418_2415903_011,2024-06-07T03:34:18.000Z,2024-06-07T03:34:41.000Z,0,189.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240607T033418_2415903_011/EMIT_L2B_MIN_001_20240607T033418_2415903_011.nc
